zone,practice_id,practice_name,speciality,monetisable_txns,practice_reference_id
whitefield,1590120,Health Care Clinic,NaN,0,64823f7a-a076-47ad-9bcf-b8b1422e6b46
whitefield,765850,Speech Therapy Clinic,NaN,0,dc7976b8-b7ee-49ce-aa78-eab2098b9707
whitefield,1168792,Nature Diet Wellness Clinic,NaN,0,7ef5cfbd-2370-43b3-8fb1-d955dc41955a
whitefield,1159962,Aanvii Hearing Care,Audiologist,0,dffec806-2950-488d-9feb-4d9aeb66cba4
whitefield,1170723,HearFon - Centre of Excellence in Hearing Health,Audiologist,0,8dbaca92-fdfc-49cc-93e8-254a6dc7d18a
whitefield,1691308,Sravana Hearing Aid Centre,Audiologist; Speech Therapist,0,331d772f-376e-4a3a-8b37-559bb47c4e74
whitefield,1593020,SWASTI HOSPITAL,Cosmetic/Plastic Surgeon,0,ea80ede0-454a-4487-84ca-0086819ffd43
whitefield,1713124,SK Plastic Surgery Clinic,Cosmetic/Plastic Surgeon,0,7f6301ef-fe33-4dad-8500-be7cf4ffd8e1
whitefield,1691283,Aura Aesthetics Clinic,Cosmetic/Plastic Surgeon,0,91535a77-000a-48cd-9c0b-005d4cb66ada
whitefield,983898,Eat 2 Fit - Diet Tutor,Dietitian,0,edb130d0-6ba8-4955-8a2e-e62bc5004bc2
whitefield,1114099,SAI Institute of Nutrition,Dietitian,0,fee52832-0509-45d7-a1a5-432d922deb5c
whitefield,1137491,Medidiet- A Complete Diet Clinic for Chronic Diseases,Dietitian,0,44bb9fd9-ee76-4634-90f1-dce40b6fb0cd
whitefield,1196748,Zealth,Dietitian,0,70cd7d58-e9ba-41d3-b2a2-b02512fc25c9
whitefield,1222247,Zealth,Dietitian,0,2321d665-ab83-495f-aaef-0002db32251b
whitefield,1303455,Alchemy Nutrition,Dietitian,0,9b935549-b3bc-4d28-ba3a-5a44a68dedf9
whitefield,1297384,"Nutrition, Lifestyle Management and Transformation Clinic",Dietitian,0,5747f7f5-4438-47d7-a118-d3036afa6c8f
whitefield,1447909,Soul Fit Wellness Clinic,Dietitian,0,5496e32e-fc45-480f-88fd-3e5642c1fa45
whitefield,2084396,Dietitian Vinothini Health And Nutrition Centre,Dietitian,0,9157a247-42e0-4171-bdea-b594408e985f
whitefield,1453630,Suvarna Health Care Centre,ENT,0,81957f68-61bc-4173-9af5-57770e65191f
whitefield,705141,Yogaksema Clinic,General Alt Medicine,0,c34dcfb0-41ae-4179-9b4f-6365af387a41
whitefield,1595072,True Life Hospitals,General Alt Medicine; Oncologist,0,937a9cbc-b047-4ee9-9bbb-2bdd15a51d12
whitefield,638670,Ayurveda Gram,General Alt Medicine; General Dentistry,0,2586a55e-1f99-4c53-8068-7183d676295c
whitefield,687336,Sri Surya Ayurvedic Treatment Centre,General Alt Medicine,0,9c40a3f7-c2fe-4ce6-89ce-74b41f8ddeb5
whitefield,1595693,Sri Sai Clinic,General Alt Medicine,0,358cfd51-69da-48a1-b71d-b959ed0b1f73
whitefield,1265876,Sri Sai Clinic,General Alt Medicine; General Physician,0,23e6a33d-9557-4c90-862c-264d29e1dec9
whitefield,1106545,Sanjeevani Multispeciality Ayurveda Yoga Centre,General Alt Medicine,0,8839f4d5-075c-441c-8d5e-a169f7330d00
whitefield,1154725,Sri K Thangavelu Clinic,General Alt Medicine,0,e048308e-5d80-4d10-b495-fc42173daefa
whitefield,1114659,Basil Ayurveda & Panchakarma Centre,General Alt Medicine,0,71eb96b5-a99e-4a78-bd24-fc7619bc750b
whitefield,1375584,Sri Ayurdhama,General Alt Medicine,0,9fcd672a-71d0-4778-b904-bea9fa574420
whitefield,1407705,Mahat Ayurveda,General Alt Medicine,0,dff2f2b7-367f-45ba-821e-b654fc7fad00
whitefield,1196036,Swadhyaya Ayurveda Clinic And Yoga Therapy Centre,General Alt Medicine,0,e982bee9-1bd4-4ae5-ade2-47c28cf7b65f
whitefield,1277139,Vishwam Ayurveda,General Alt Medicine,0,83006d7e-ac0a-49d6-a2c4-19112fe98350
whitefield,1283365,Sandhya Clinic,General Alt Medicine,0,684b923f-e233-4518-8687-b76fe1747e29
whitefield,1312044,VS Ayurveda,General Alt Medicine,0,2520aadf-e3b8-4ae1-9f8e-1c6f5818ae79
whitefield,1350946,Shreekara Ayurvedalaya,General Alt Medicine,0,5aaffa6b-6d25-446e-b6db-f997215cc7c7
whitefield,1612682,Dr Salini Clinic,General Alt Medicine,0,7b9935ac-107d-41eb-8644-e4678af277d6
whitefield,1364104,Kottakkal Arya Vaidya Shala,General Alt Medicine,0,00eb1c39-0757-42c5-aa76-94fdfa02a963
whitefield,2177507,Kerela Ayurveda Multispeciality Clinic,General Alt Medicine,0,de0a0c74-5630-4a79-a0d4-109880c81ff1
whitefield,1713126,The Holistic Way,General Alt Medicine,0,02b52821-9c81-4675-849c-16cbb5757cb7
whitefield,2082004,Ayur Dx Clinic,General Alt Medicine,0,f5484956-97b8-4ec5-98b3-8980ecda0e1a
whitefield,1411249,Ayur Central,General Alt Medicine,0,cf6a45f4-7a5f-48e8-bc7d-128f45696ff4
whitefield,649153,Sai Ram Dental Center,General Dentistry,0,2f90ef29-a83d-4ac2-9aa0-dfba967dabb8
whitefield,649671,Sri Sai Ashrita Dentalclinic,General Dentistry,0,16553e83-4646-42b3-9b2f-b264ba7f0ad0
whitefield,1113977,SRI Manjunatha Multi Speciality Dental Care,General Dentistry,0,91011e4a-b431-45e1-a6b2-8e037c7fc1b0
whitefield,614483,Sri Sheshashayi Multispecality Dental Clinic,General Dentistry,0,4838cf48-bde4-4bcd-9132-7f483f1f70a0
whitefield,849648,Sri Sheshashayi Multispeciality Dental Clinic,General Dentistry,0,ee43d58f-6fac-4bf0-89f3-882313ad9f7a
whitefield,616526,Amoga Dental Studio,General Dentistry,0,24a1926c-2e90-44a7-a356-4d963f4dc92d
whitefield,617523,M J Dental Clinic,General Dentistry,0,6af4d3ef-59d6-4574-bad6-2f1b8713356f
whitefield,662797,Whitefield Dental Clinic,General Dentistry,0,f227bb0e-7320-4821-b00a-a437e5231436
whitefield,1329862,Dental Den,General Dentistry,0,51a53345-d9d2-4619-91aa-d783468df100
whitefield,648697,Dental Works,General Dentistry,0,8f7bf9db-2954-4b2d-a1fa-cbff03ec5bd3
whitefield,1141212,All Smiles Dental Studio,General Dentistry,0,94ca7f04-a2bd-4bd2-828a-4e464f2d0dbf
whitefield,1111792,Kush Oral Surgery Varthur,General Dentistry,0,d6fb2db0-d16c-4aef-a6f8-ead1b6e875f9
whitefield,1182609,Clove Dental,General Dentistry,0,d578e6a8-ce19-4dd2-a9ad-f9af279ffe56
whitefield,1182573,Clove Dental,General Dentistry,0,1419261e-890d-4527-9cb6-ac617f4c1bf7
whitefield,1180930,RxCura Dental Clinic,General Dentistry,0,9701cab5-ca73-47b5-b5ca-5d800526db2b
whitefield,859304,Dental Health Centre,General Dentistry,0,0f93fb7c-2639-4771-a533-5434a62e8e29
whitefield,660125,KDC Dental Care & Implant Care,General Dentistry,0,aa5b84c6-be47-4b2a-ae38-a8b35882beff
whitefield,660528,Ratnatulasi Medical and Dental Clinic,General Dentistry,0,37c39ea8-5c48-48fd-9b49-f76012ebfe50
whitefield,683771,Pure Dental Clinic,General Dentistry,0,ef17e25a-5d3c-407d-b67d-05a28282aa67
whitefield,662942,Smilez 4u Dental Care,General Dentistry,0,24ab62f8-8e62-42fc-855f-bdeae66f2e41
whitefield,665503,Tunga dental care center,General Dentistry,0,333962f4-48c1-4fc8-b111-c0627d4129a3
whitefield,1590045,Sri Vinayaka Poly Clinic,General Dentistry,0,4bcb068f-ff37-4b5c-9cba-8c4bd220edd6
whitefield,850317,Orchid Dental Clinic,General Dentistry,0,272c4bc1-1be3-4e55-a441-2ad2fc1cfff2
whitefield,1176825,Dentinova Dental Care,General Dentistry,0,1ded9527-cf03-4b4b-a099-afc34386f7ae
whitefield,1273945,I  Smile Dental Care & Implant Centre,General Dentistry,0,d8219a6d-f688-45fd-aac0-d45872b55106
whitefield,1244042,Aditri Dental Clinic,General Dentistry,0,e44e865d-e497-4114-a883-e251d534c3e4
whitefield,1210793,Smile Care Dental Clinic,General Dentistry,0,12e511ec-b336-427d-8f27-d604335fa970
whitefield,1141954,Axiss Dental Clinic,General Dentistry,0,a4ed0cf6-3f05-4242-aa64-fd835cf32354
whitefield,697150,The Dental Clinic,General Dentistry,0,197de16b-4825-4fd7-88ca-a71e108026ee
whitefield,1177314,Dr. Anne's Aesthetics Dental Clinic,General Dentistry,0,205455fc-cce2-42b1-b1d2-fcad83cd2d3b
whitefield,1149833,Axiss Dental Clinic - NH ITPL,General Dentistry,0,8c1540e9-6bdb-4e4e-971c-1a74abd4fbd7
whitefield,750246,Healthy Dent,General Dentistry,0,2aa3123c-107c-48ff-9f62-d281ca97720a
whitefield,838250,Ekadantha Dental Care,General Dentistry,0,caafd3f2-2b17-44d3-80bc-cd421ca62136
whitefield,1005755,T32 Dental Care,General Dentistry,0,beb2347f-b7a1-4890-a1a0-8bf64f4bd5ca
whitefield,1151042,Dental Affection,General Dentistry,0,20312c40-87ef-411d-ba22-0ef7bf54f405
whitefield,1144906,Dr. Tooth Root Canal and Implant Centre,General Dentistry,0,19d25a03-9418-43bc-8564-2f255a4a601b
whitefield,1039987,Blossom Dental Clinic,General Dentistry,0,8caa0aa9-451d-40e7-8a9f-21f72cb9afdc
whitefield,1044930,Veda's Family Dental Clinic,General Dentistry,0,ef127a7d-5d74-4091-9cca-a46c56bd8cf2
whitefield,1147917,Edna Dental Care,General Dentistry,0,b6003373-6893-417b-8e70-2ab838936fef
whitefield,1117720,MS Family Dental Clinic,General Dentistry,0,ba255381-af5a-4538-b612-00008dea6803
whitefield,1120587,Smiles 4 U,General Dentistry,0,429df5fa-d757-4ed0-980e-80cf181172a8
whitefield,1131678,Niganth Dental Multi Speciality Clinic,General Dentistry,0,3ca6e10e-4856-4137-920e-1f34ebda6325
whitefield,1432181,Ivory Smiles Dental Clinic,General Dentistry,0,ef9120ec-8a4c-4e1d-9b9b-9d2ea2709208
whitefield,1165810,Reflection Dental Clinic,General Dentistry,0,f7223c27-ebda-45f2-93bc-d6a582777b96
whitefield,1149132,32 Smiles Multispeacility Clinic,General Dentistry,0,86340727-e3aa-4d93-a5ef-2ba6721ebddb
whitefield,1166886,Asha Dental Care,General Dentistry,0,aba0ceb1-173c-4672-a05f-0483ac6c619c
whitefield,1167982,Aditri Dental Clinic,General Dentistry,0,db3a2388-37e0-4f61-aa46-e81999846376
whitefield,1177614,SRL Diagnostics,General Dentistry,0,a4ee00a9-f0b0-4d50-8838-ee9e41e90f63
whitefield,1177833,Smile Up Dental Clinic,General Dentistry,0,ca52f923-65a5-42fc-b0dd-92ce783ece90
whitefield,1190356,Madni Dental Clinic,General Dentistry,0,375ee2d4-0aa9-4da7-8663-3cdc63285983
whitefield,1191433,Family Dental Care,General Dentistry,0,5382ead8-a9ef-4bd8-aefc-badcf3ad7beb
whitefield,1209716,Whitecity Multispeciality Dental Clinic,General Dentistry,0,b423b487-8195-45bc-b24a-9ffd8d01c5a4
whitefield,1210465,Impressions and Expressions,General Dentistry,0,4e23a5be-5a2c-4c21-abd3-243ba99d39a4
whitefield,1179889,Tooth Fairy Dental Clinic,General Dentistry,0,f3f8c04f-a46f-4434-b135-1576af27500d
whitefield,1277955,BEST SMILE SUPERSPECIALITY DENTAL CLINIC,General Dentistry,0,61953fbe-a14d-46be-aa8d-3b4da479bd6b
whitefield,1224348,Apollo White Dental,General Dentistry,0,53f17c73-664b-4976-bf99-188588cf1aa9
whitefield,1224721,You Smile Dental Clinic,General Dentistry,0,de14b2b2-b1c2-4a0c-9b61-cf5802cb3b96
whitefield,2091053,Floss-it Dental Clinic,General Dentistry,0,006308b1-a401-4959-9563-edf5279b118a
whitefield,1248078,Aqua Dental Clinic,General Dentistry,0,9e236d2c-f8b7-4927-a4d5-910774ff4260
whitefield,1267076,Clove Dental,General Dentistry,0,6d360848-2285-456e-89e3-cbd2806f6fa6
whitefield,1220579,Dr. Akshay's Maxillofacial And Implant Centre,General Dentistry,0,169826a8-037f-4497-8960-42c9c9a50b75
whitefield,1268851,Nakshatra Dental,General Dentistry,0,e4725bf6-a6a1-4a36-b373-b342c5d9937e
whitefield,1266978,Clove Dental,General Dentistry,0,20c2a9da-1d16-4611-8e53-e74d4e6959fa
whitefield,1267077,Clove Dental,General Dentistry,0,c64db2cb-1d94-4401-a3fc-029de5a998b0
whitefield,1466962,Dantshaala Paediatric And Family Dental Home,General Dentistry,0,a4627a8b-4cae-47ba-8685-2f5ae25e00e8
whitefield,1304167,Renuka Cure & Smile Dental Clinic Whitefield,General Dentistry,0,f945d6bb-72bf-4978-90a1-a2e8711dae92
whitefield,1610759,Apollo Dental Clinic,General Dentistry,0,8f04c68f-eca7-4421-9380-4e107c30f757
whitefield,1349298,Align and Smile Orthodontic and Multispeciality Dental Clinic,General Dentistry,0,87ab3e8c-cfaa-4e16-b0cf-62586ea9d12a
whitefield,1159452,Apollo Dental,General Dentistry,0,1664281b-13e3-4f1c-8460-061b12ab1bb9
whitefield,1376004,tunga dental clinic,General Dentistry,0,54898c29-4bb6-4656-b40c-d4a138237eee
whitefield,1407463,Smaya's Dento Care,General Dentistry,0,48af0b12-d151-40f9-a7c2-5732ff50a418
whitefield,1414115,Smile Stories,General Dentistry,0,d68b7aa8-ae28-4f28-ba40-e22a205d8ac4
whitefield,1441455,Cosmodent 9,General Dentistry,0,edf3d79f-112d-4b71-8e50-c41339668d38
whitefield,1446918,Dr Anupama's Dental Clinic,General Dentistry,0,349ced90-a7ed-40fd-9ac2-1b901373f7b0
whitefield,1612377,Smile Medical And Dental Aesthetics,General Dentistry,0,93fd3c11-98ba-4bb1-9709-bbf09833ea2b
whitefield,1449411,Smile Medical And Dental Aesthetics,General Dentistry,0,b0c56b0d-4059-4a62-b9d6-4dff4b730161
whitefield,1453427,Kiran Dental Hub,General Dentistry,0,5dba0bf6-405a-4a79-b6ed-e905ce7384ca
whitefield,1465133,Impressive Dental Care,General Dentistry,0,5059d88b-a11b-4d36-b453-e02f9006b1ba
whitefield,1469011,Mouth Marvels Dental And Implant Centre,General Dentistry,0,0dd964fa-50ad-4872-981d-99fb77d51b2d
whitefield,1474989,Aakruti facial aesthetics & dentistry,General Dentistry,0,86daacf6-7e17-492a-ad8b-eb34c6e28c04
whitefield,1599515,Smile Care Multispeciality Dental Clinic,General Dentistry,0,6755f127-ce25-4312-97cb-644cd7a4f54a
whitefield,1680344,Dentalign Orthodontics Clinic,General Dentistry,0,9d4a1b8c-907a-4195-a900-a646fa76f316
whitefield,1681520,Dezy Dental Clinic,General Dentistry,0,4cd9891a-ad8a-461b-babb-d8fd3e037551
whitefield,1717785,Svastha Speciality Clinic and Diagnostic Centre,General Dentistry,0,1d7823ad-a90e-47f4-a5e0-41ad86361765
whitefield,2078475,Dentally Yours,General Dentistry,0,09b9f5f0-650b-4e43-add5-755eefe185c9
whitefield,2089223,Dentalis Multi-speciality Oral Health Centre,General Dentistry,0,f489b5f9-a01a-43a1-9ead-8d9b9b8190ea
whitefield,2170768,Align & Smile Orthodontic Multispeciality Dental Clinic,General Dentistry,0,41a35c7d-8cf6-4a10-8163-70211000fd65
whitefield,664178,Hairline International Hair & Skin Clinic,General Dermatology,0,2d8423a2-04a6-4429-a853-52e159e78c51
whitefield,614457,Mind-Body Clinic,General Dermatology,0,705d4488-5869-44f2-bab5-cf78385800e1
whitefield,1131147,"Manipal Fertility - IVF Centre, Whitefield",General Gynecology,0,17093c3c-8ef8-4b97-be4b-2b20c1cd9b61
whitefield,1592982,SANJEEVINI CLINIC,General Gynecology,0,b5c3c535-fa73-4da5-9c68-329e86949c9a
whitefield,1594169,Sanjeevini Clinic,General Gynecology; General Physician,0,b5d87356-5ca6-4126-b519-da6aaa6c7081
whitefield,1595451,Sanjeevini clinic,General Gynecology,0,14f0087b-6545-476f-b12a-ec61cc13ea97
whitefield,1591137,Sanjeevini Clinic,General Gynecology; General Physician; General Psychiatry,0,4f2f0c03-c288-43ba-ba5f-102a10c3b9c1
whitefield,1592850,sanjivini clinic,General Gynecology,0,53bcd285-2f98-4956-ae44-f3553c4a9a90
whitefield,1144888,Lotus Clinic,General Gynecology; General Surgeon,0,53eed4c1-896a-4277-9745-15ded8ce0d49
whitefield,1370252,Nova IVF Fertility,General Gynecology,0,a89b95a1-dd5e-4c15-acf4-f62ec27cca70
whitefield,1593035,White Field,General Gynecology,0,0519aaf1-dc2d-4af1-aa42-5cbe7b258214
whitefield,1208283,Aayug Multispeciality Hospital,General Gynecology,0,762fac06-da4a-4136-ac99-d3c433d60efa
whitefield,1358557,Feminora Women's Clinic,General Gynecology,0,f75f8d06-06a0-4c45-951d-997370df36d7
whitefield,1437274,Sattva Fertility,General Gynecology,0,fe6eef5a-d154-4459-884f-d563e8eb08c1
whitefield,1315275,Indira IVF Clinic,General Gynecology,0,c350cba8-f3ee-4af0-9bf5-d093afc91fa2
whitefield,1380313,Ganesh Maternity Clinic,General Gynecology,0,98466c98-8ff8-49b8-aef0-aebbe1f65069
whitefield,1604410,Archish Fertility & IVF,General Gynecology,0,83264a36-d78a-4663-9318-12a0a3324446
whitefield,687332,St. Mary's Child Care Centre,General Gynecology,0,85f23168-dd13-4d53-a990-c729cb315c7d
whitefield,1716397,Stepcare,General Gynecology,0,914d086e-afa2-489f-abfb-b0a9965d9bb0
whitefield,2179416,FemLife Clinic,General Gynecology,0,bfca8061-da12-4828-afbe-5a97a26e952b
whitefield,1592881,Balaji Clinic,General Ophthalmology,0,943dfb1c-0078-4fd2-a5e7-2459210614ef
whitefield,1297801,GKR Ravisha Clinic,General Ophthalmology,0,bb324bca-cb4d-4d6a-96dd-ccfedacb1a28
whitefield,1110231,Alka Nursing Care,General Pediatrics,0,d398319a-ce97-4986-8297-afd5da3fb97b
whitefield,1328946,Sanvi Healthcare,General Pediatrics,0,5d346c0d-970d-4d19-99ee-1c98bdbbb5ed
whitefield,1161307,ARWIN HEALTH CARE,General Physician,0,355c7329-768c-4ff8-bb16-222a3abf73a0
whitefield,1280504,Medfine Clinic,General Physician,0,86c56f45-2136-492e-a3e3-5dcbb769b4c8
whitefield,1595346,Sri Durga Clinic,General Physician,0,23a7c4eb-2559-48ae-b40c-7bab741163b1
whitefield,1590618,Sri Lakshmi Clinic,General Physician,0,46175f82-c64a-42b1-adaf-218bc2b5a2b0
whitefield,1712792,Berkowits - Whitefield,General Physician,0,ab7f0da1-2918-45e8-8896-4aab2ffead44
whitefield,1121503,NH Multispeciality Clinic,General Physician,0,ef24db43-0743-4593-9ec1-d43f7084da75
whitefield,697508,Columbia Asia hospital,General Physician; Nephrologist,0,01e4e37c-8a55-41ee-b63f-66b618d119d3
whitefield,1145427,RJH Clinic Pharma and Diagnostic Lab,General Physician,0,1bcc0f53-d96e-4896-b070-309a63df0c4b
whitefield,1176807,Kshema Health Care,General Physician,0,04292b73-2891-47a8-9a34-a230f9579a0c
whitefield,1234270,Poorvik Nursing Home,General Physician,0,588f6bf5-c8bf-460e-a5ee-e668f44098cc
whitefield,2076351,Manu Clinic,General Physician,0,7a683f0b-291a-44ee-94a5-caf9745d50ab
whitefield,1411464,Bhagavan Sri Sai Health Center,General Physician,0,404af4e7-39c6-4a4f-a6ed-44f4d0ae01eb
whitefield,663308,Shiva Ganga Clinic,General Physician,0,50e61a01-fcf7-4e74-9303-b3004df0d7b4
whitefield,1692163,Kyno Health,General Physician,0,82c28fdd-d8bf-4a1e-8405-ae4c4b3b459f
whitefield,1134182,Kreyo,General Psychiatry,0,1cb5e09c-7c3f-4a02-aec1-b42e3e771ce2
whitefield,1250621,Mind.Fit -Hoodi,General Psychiatry,0,7847f122-5001-4ddb-849d-bf3a0b51e938
whitefield,1272156,Counselling And Psychotherapy,General Psychiatry,0,bea7447e-ddf5-4c14-b184-ce8902ccd888
whitefield,1242346,Aegis Medicare Multi-speciality clinic and Diagnostics,General Surgeon,0,0914c456-f469-4af9-a97e-88409a5259e0
whitefield,1146563,Homeo for All,Homeopathy,0,add1c41f-0237-4a65-963a-d2e96043da96
whitefield,708031,Shri Samartha Homeopathy Clinic,Homeopathy,0,990034ad-0cbe-4231-8c72-25d664eb804a
whitefield,723587,Sri Bhavishya Krishna Homoeo Clinic,Homeopathy,0,946ed7bb-36af-471e-bdb3-a4a7370f8dba
whitefield,1195060,Dr. Vaani's Homoeo Care,Homeopathy,0,c6c0cf82-cc34-4e6e-b58d-1e4caaf0ea44
whitefield,1117962,Usha Homoeo Clinic,Homeopathy,0,2be70c62-9d25-42ef-a211-57edb986dad8
whitefield,1139771,Sonu Homeo,Homeopathy,0,9b3bdd97-c516-4dfa-b346-118045a3234b
whitefield,1142793,Miracle Homeopathy Clinic,Homeopathy,0,2ef54e5e-3ab9-484d-bee7-989b4ee9cd49
whitefield,1143824,Darshana's Homoeopathic Clinic,Homeopathy,0,9eb60e6d-2bdd-4991-8c5e-1684c810b80e
whitefield,1196864,Dr. Pallavi Agarwal's Homoeopathy,Homeopathy,0,3bda7431-f61a-4912-b1d0-a2d460397877
whitefield,1055868,Health Total,Homeopathy,0,a95514d6-2ea4-4080-8bb8-c597ade52c7f
whitefield,1221319,Dr. Chaturanana's Homoeo Clinic,Homeopathy,0,25225611-5728-4e51-aaa5-4f8d6199d38d
whitefield,1242306,Dr Ashlesha's Homoeopathy Clinic,Homeopathy,0,72df713b-f400-4f10-9df1-9a45f065ab1f
whitefield,1269797,Medi Safe Homeopathic Specialty Clinic,Homeopathy,0,9933a624-36c7-4cec-960d-0272f7fdf201
whitefield,1599876,Homeo Central,Homeopathy,0,71616ce7-c3b5-40a4-877f-631665531de6
whitefield,1406585,Dr Nafia's Homoeopathic Medical Centre,Homeopathy,0,c413619c-ef77-4ccc-aa39-94821035b60a
whitefield,1681564,AM Multispeciality Clinic,Homeopathy,0,9872ad66-6c16-4211-b0b4-f0254a9304d3
whitefield,1594166,Cloudnine Hospital - Varthur Road,Infertility Specialist,0,0fac9ab2-0244-4a83-adaa-c260148a1e0e
whitefield,1147150,FutuReady Pediatric Intervention Services,Occupational Therapist; Speech Therapist,0,fcc07b51-5dbb-4ead-ad74-3bf59ea4e67e
whitefield,2094105,Sunshine By Lissun,Occupational Therapist; Speech Therapist,0,24f95888-9dba-4dc2-b879-7649e2aae4b6
whitefield,1595029,Yashumathi Hospital,Orthopaedics,0,2391a45b-1068-442c-a679-c6378d05dac9
whitefield,1165748,Whitefield Spine Clinic,Orthopaedics,0,cefeee22-8f5b-40db-a248-dac3ea111ff9
whitefield,796234,CMRA Hospital,Physiotherapist,0,0ea7c6f9-3db8-4e8f-ad5c-67eaf66ca3d3
whitefield,1044338,Whitefield Active Life Physiotherapy Clinic,Physiotherapist,0,0e1add11-cbd4-494e-8d45-0ebbb95ee511
whitefield,844790,Step Ahead Physio Care Home Services,Physiotherapist,0,58bda885-54a5-4269-9cac-234dc05da231
whitefield,1137087,Physio care,Physiotherapist,0,85954b3f-8081-4545-a859-5fa5f170e018
whitefield,1137829,Physiotherapy and Sports Injury Clinick,Physiotherapist,0,39a29c81-afbb-4cab-9039-f6f35c90a1c6
whitefield,1068052,Nightingales Home Health Services,Physiotherapist,0,ece0b457-b0f4-4098-8edc-2f84de6a8723
whitefield,1179197,JR Polyclinic & Diagnostics Laboratory,Physiotherapist,0,04628333-1085-4238-9978-065831d9b220
whitefield,1610618,Move More Physiotherapy And Rehabilitation Centre,Physiotherapist,0,e32800f2-a2cc-49d7-8a78-04b149a5defd
whitefield,1262366,Vava Physio,Physiotherapist,0,8d6f290c-8d5c-4fa2-abdf-1ba0730506ce
whitefield,1275403,Refit Meds,Physiotherapist,0,b5968fb7-f33d-4fad-9ca7-fd474e608289
whitefield,1349264,Lotus Physio Studio,Physiotherapist,0,a5f9eda0-7b09-45e3-a014-d811efd4b3db
whitefield,1279467,OrthoCure Physiotherapy,Physiotherapist,0,7689da61-26e4-4613-ac9a-5ddc0c3b64ca
whitefield,1611147,Therapoint Physiotherapy Clinic,Physiotherapist,0,4196fd7d-9dc5-4d16-ba82-c1b6dc9c5dd0
whitefield,1436698,Eva Physiotherapy Clinic,Physiotherapist,0,c096c932-fec1-417c-a087-dfb810d0d002
whitefield,1607960,Kauvery Hospital,Radiology,0,985e761b-6544-43be-b353-aecf8ad4a2d9
whitefield,1427724,Alpha hearing And speech Clinic,Speech Therapist,0,555ef6e4-640c-4896-ac4b-9011a14f62d6
whitefield,1148731,Hear2Speak Hearing and Speech Clinic,Speech Therapist,0,8f6a6567-3747-4ee8-8638-f335c90aaf53
whitefield,1588417,Kauvery Hospital Marathahalli Bengaluru,Veterinarian,0,c361c43d-d50b-48cf-8e28-3a40add65ebd
jp nagar,1319951,Aster RV Hospital,Cardiologist; Cosmetic/Plastic Surgeon; Dietitian; ENT; Endocrinologist; Gastroenterologist; General Dentistry; General Dermatology; General Gynecology; General Ophthalmology; General Pediatrics; General Physician; General Psychiatry; Hematologist; Nephrologist; Neurologist; Oncologist; Orthopaedics; Physiotherapist; Pulmonologist; Radiology; Urologist; Vascular Surgeon,789,cf54441f-9306-4ef9-b2f4-e954ce26797b
jp nagar,728755,Apollo Hospital,Cardiologist; Cosmetic/Plastic Surgeon; ENT; Endocrinologist; Gastroenterologist; General Dermatology; General Gynecology; General Ophthalmology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Neurologist; Oncologist; Orthopaedics; Pulmonologist; Radiology; Urologist,651,dd782fd1-4fbf-4946-9c26-79f2c62223d3
jp nagar,1041383,Manipal Hospital,Cardiologist; ENT; Endocrinologist; Gastroenterologist; General Dentistry; General Dermatology; General Gynecology; General Ophthalmology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Nephrologist; Neurologist; Oncologist; Orthopaedics; Pulmonologist; Urologist,527,d83e7292-ee84-4f10-aebf-cabf166290bc
jp nagar,1141637,Apollo Clinic,Cardiologist; ENT; Endocrinologist; Gastroenterologist; General Dermatology; General Gynecology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Nephrologist; Neurologist; Oncologist; Orthopaedics; Physiotherapist; Pulmonologist; Radiology; Urologist; Vascular Surgeon,313,1e4eb604-6ba7-474f-a281-cb114a6bdb31
jp nagar,1131824,Nano Hospitals,Cardiologist; ENT; General Dentistry; General Gynecology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Nephrologist; Neurologist; Oncologist; Orthopaedics; Urologist; Vascular Surgeon,313,c8a718e6-ec9c-40f8-9eea-2004ca1e0fd6
jp nagar,841811,Dermacare Skin and Hair Clinic,General Dermatology,287,06c4db49-bd9e-4e53-a848-16443ad0b508
jp nagar,1136311,Fortis Hospital,Cardiologist; ENT; Gastroenterologist; General Dermatology; General Gynecology; General Pediatrics; General Physician; General Surgeon; Nephrologist; Neurologist; Nuclear Medicine Physician; Oncologist; Orthopaedics; Pediatric Cardiologist; Pulmonologist; Urologist,254,82f7bd69-f92e-41e8-83e0-0937f95424dd
jp nagar,1365072,Camry Hospitals,ENT; Gastroenterologist; General Gynecology; General Pediatrics; General Physician; General Surgeon; Neurologist; Oncologist; Orthopaedics; Pulmonologist; Urologist,236,6361fd65-f6e1-4d56-9b14-22abc3a4a9cc
jp nagar,1422628,DHEE Hospitals,Cardiologist; Cosmetic/Plastic Surgeon; ENT; Endocrinologist; Gastroenterologist; General Dentistry; General Dermatology; General Gynecology; General Ophthalmology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Nephrologist; Neurologist; Orthopaedics; Pulmonologist; Urologist,229,fe49f17b-a72e-4eb8-93c3-3af736cb33d4
jp nagar,1279249,Meenakshi ENT Speciality Hospital (MENTS),Audiologist; ENT; General Dermatology; Speech Therapist; Veterinarian,189,7e0ef2af-7582-48b5-9f6f-3bcfb28f1193
